Date,Department,Category,Region,Budget Amount,Actual Amount,Payment Method,Transaction ID,Variance
2021-09-20,Finance,Marketing,Central,100405,156716,Bank Transfer,TXN100181,56311
2021-05-24,HR,Salaries,East,87807,80583,Bank Transfer,TXN100182,-7224
2021-12-12,Operations,Utilities,South,78371,133061,Card,TXN100183,54690
2022-09-16,HR,Salaries,South,149085,115590,Card,TXN100184,-33495
2023-10-14,Sales,Utilities,Central,88775,52889,Bank Transfer,TXN100185,-35886
2023-05-31,Marketing,Utilities,Central,46973,158992,Card,TXN100186,112019
2021-01-02,Marketing,Training,North,77690,123990,Cash,TXN100187,46300
2023-06-16,Finance,Training,North,79459,77850,Cash,TXN100188,-1609
2021-09-11,HR,Training,North,41558,116519,Cash,TXN100189,74961
2022-03-29,Operations,Travel,West,118350,11474,Cash,TXN100190,-106876
2023-11-27,Finance,Salaries,East,50030,95768,Cash,TXN100191,45738
2023-10-12,IT,Infrastructure,South,46636,32039,UPI,TXN100192,-14597
2021-01-09,Marketing,Utilities,East,119528,22104,Cash,TXN100193,-97424
2023-03-27,Operations,Utilities,Central,73566,136404,Card,TXN100194,62838
2021-07-27,HR,Marketing,East,61159,25786,Bank Transfer,TXN100195,-35373
2022-02-08,Finance,Travel,East,66025,54716,Bank Transfer,TXN100196,-11309
2021-06-01,Operations,Infrastructure,North,119463,138738,Card,TXN100197,19275
2021-02-23,Finance,Training,Central,22434,130914,Card,TXN100198,108480
2022-09-20,Finance,Utilities,East,56096,59269,Card,TXN100199,3173
2022-08-10,Finance,Marketing,South,57471,161265,Bank Transfer,TXN100200,103794
2021-04-14,HR,Salaries,North,66004,95950,Card,TXN100201,29946
2021-09-11,Operations,Utilities,East,20487,24791,Card,TXN100202,4304
2022-05-25,Sales,Marketing,Central,85925,127363,UPI,TXN100203,41438
2021-04-09,Sales,Salaries,South,106925,86429,UPI,TXN100204,-20496
2021-06-02,HR,Travel,Central,123500,111807,UPI,TXN100205,-11693
2023-07-03,HR,Training,Central,19610,14224,Bank Transfer,TXN100206,-5386
2023-05-28,Marketing,Salaries,Central,63551,113909,Card,TXN100207,50358
2021-12-04,Finance,Utilities,West,23869,35685,Cash,TXN100208,11816
2023-04-02,Operations,Infrastructure,South,98466,102045,Bank Transfer,TXN100209,3579
2023-08-15,Operations,Salaries,Central,32979,26476,UPI,TXN100210,-6503
2021-06-10,IT,Infrastructure,West,21492,130214,UPI,TXN100211,108722
2023-03-12,IT,Infrastructure,North,125381,84598,Bank Transfer,TXN100212,-40783
2022-02-02,Sales,Salaries,West,70920,115474,Bank Transfer,TXN100213,44554
2023-03-27,IT,Travel,North,122784,9484,Card,TXN100214,-113300
2022-02-05,IT,Salaries,West,104257,100526,Bank Transfer,TXN100215,-3731
2022-10-02,Sales,Marketing,Central,33409,27760,Cash,TXN100216,-5649
2023-11-23,Marketing,Training,West,126443,14326,Cash,TXN100217,-112117
2022-11-19,Sales,Infrastructure,West,70428,132802,Bank Transfer,TXN100218,62374
2022-04-05,IT,Training,Central,36455,78723,Cash,TXN100219,42268
2023-08-13,Operations,Utilities,North,141919,133477,Card,TXN100220,-8442
2022-04-15,IT,Infrastructure,Central,86699,120325,Bank Transfer,TXN100221,33626
2023-11-12,Finance,Utilities,South,63213,137778,Cash,TXN100222,74565
2023-01-20,Finance,Marketing,West,125883,22963,UPI,TXN100223,-102920
2021-02-07,Finance,Marketing,South,41849,145310,Card,TXN100224,103461
2021-08-18,Marketing,Training,Central,81868,134197,Bank Transfer,TXN100225,52329
2022-07-17,HR,Marketing,Central,132842,68494,Bank Transfer,TXN100226,-64348
2022-03-14,Finance,Salaries,East,146720,49328,Bank Transfer,TXN100227,-97392
2021-01-27,Operations,Infrastructure,South,41793,69790,UPI,TXN100228,27997
2021-08-14,Marketing,Utilities,East,95240,120962,Cash,TXN100229,25722
2023-03-09,HR,Training,South,94377,151877,Bank Transfer,TXN100230,57500
2021-10-11,HR,Training,East,13450,94037,Cash,TXN100231,80587
2023-05-29,Finance,Marketing,East,18418,166403,Card,TXN100232,147985
2023-08-18,IT,Marketing,South,44575,82860,UPI,TXN100233,38285
2022-03-29,Sales,Utilities,Central,140576,48632,UPI,TXN100234,-91944
2023-10-17,IT,Infrastructure,North,107260,124167,Card,TXN100235,16907
2023-03-27,IT,Infrastructure,Central,124009,95268,Card,TXN100236,-28741
2022-10-21,HR,Training,North,43186,152297,Bank Transfer,TXN100237,109111
2022-07-01,HR,Utilities,South,36451,47859,Card,TXN100238,11408
2023-12-09,Marketing,Training,West,13155,34496,UPI,TXN100239,21341
2021-01-17,Marketing,Travel,Central,39448,92392,Cash,TXN100240,52944
2021-06-07,HR,Infrastructure,East,136934,8958,Cash,TXN100241,-127976
2022-04-22,Operations,Utilities,Central,138529,101399,Cash,TXN100242,-37130
2023-12-06,Operations,Utilities,South,139244,131951,Cash,TXN100243,-7293
2022-06-02,Sales,Training,West,55231,91408,Cash,TXN100244,36177
2021-04-09,HR,Marketing,West,45399,94687,Cash,TXN100245,49288
2023-11-27,Finance,Utilities,Central,82404,157389,UPI,TXN100246,74985
2021-10-07,Marketing,Training,Central,58698,21584,Card,TXN100247,-37114
2022-05-12,HR,Salaries,Central,55379,165664,UPI,TXN100248,110285
2021-10-29,Operations,Marketing,South,107275,45917,Bank Transfer,TXN100249,-61358
2021-06-30,HR,Marketing,North,144884,95672,Cash,TXN100250,-49212
2022-08-30,Operations,Infrastructure,North,33978,64308,Card,TXN100251,30330
2022-12-01,HR,Travel,East,21531,97010,Card,TXN100252,75479
2023-09-20,Finance,Infrastructure,South,38783,28321,Cash,TXN100253,-10462
2021-07-10,Sales,Salaries,West,23236,116798,Card,TXN100254,93562
2021-09-10,Finance,Training,East,127485,129534,Cash,TXN100255,2049
2023-09-08,Operations,Marketing,West,79683,119349,Bank Transfer,TXN100256,39666
2023-07-17,Marketing,Marketing,West,103806,105313,Cash,TXN100257,1507
2021-05-08,Marketing,Utilities,Central,143831,36858,Bank Transfer,TXN100258,-106973
2021-01-18,IT,Travel,West,23332,49838,Card,TXN100259,26506
2022-07-20,Finance,Travel,West,63902,46336,UPI,TXN100260,-17566
2022-07-24,HR,Utilities,South,19198,72597,Card,TXN100261,53399
2022-11-17,Sales,Salaries,Central,113307,143840,UPI,TXN100262,30533
2022-09-18,HR,Travel,Central,116209,119467,Cash,TXN100263,3258
2023-05-04,HR,Marketing,East,96023,126901,Card,TXN100264,30878
2023-08-20,Finance,Salaries,Central,142853,13177,Card,TXN100265,-129676
2021-06-04,Sales,Infrastructure,North,88948,81582,Bank Transfer,TXN100266,-7366
2022-05-05,IT,Infrastructure,South,60141,145673,Cash,TXN100267,85532
2023-02-24,HR,Salaries,East,119660,82433,UPI,TXN100268,-37227
2021-09-03,Sales,Marketing,North,41485,158145,Cash,TXN100269,116660
2023-11-29,IT,Infrastructure,West,64351,64261,Bank Transfer,TXN100270,-90
2023-01-29,HR,Training,North,36654,12581,Bank Transfer,TXN100271,-24073
2022-06-22,Sales,Marketing,East,61529,129975,Bank Transfer,TXN100272,68446
2023-07-10,Finance,Utilities,Central,114349,47802,Cash,TXN100273,-66547
2022-02-12,Marketing,Travel,South,26665,132457,Bank Transfer,TXN100274,105792
2022-06-09,Marketing,Salaries,East,72475,37698,Cash,TXN100275,-34777
2023-04-08,HR,Travel,North,57802,59119,Bank Transfer,TXN100276,1317
2023-06-22,HR,Utilities,North,87892,68393,Card,TXN100277,-19499
2021-02-05,Sales,Infrastructure,East,46362,13080,UPI,TXN100278,-33282
2022-11-16,Marketing,Training,East,49338,72652,Cash,TXN100279,23314
2021-01-20,HR,Marketing,East,103004,76664,UPI,TXN100280,-26340
2021-11-17,IT,Marketing,Central,106464,128023,Cash,TXN100281,21559
2022-05-27,HR,Utilities,East,12120,70577,Cash,TXN100282,58457
2022-02-04,Marketing,Salaries,West,120289,161278,Card,TXN100283,40989
2022-10-16,Operations,Travel,South,10785,169522,Card,TXN100284,158737
2023-08-30,Marketing,Training,South,66925,86117,Cash,TXN100285,19192
2022-04-16,IT,Infrastructure,West,76473,122490,Bank Transfer,TXN100286,46017
2023-04-14,Sales,Salaries,North,118185,130907,Cash,TXN100287,12722
2022-12-28,IT,Training,North,39969,52569,Cash,TXN100288,12600
2023-05-04,Operations,Training,North,75236,17811,Card,TXN100289,-57425
2021-02-20,Operations,Utilities,North,111416,85641,Card,TXN100290,-25775
2022-07-29,HR,Utilities,Central,26297,101897,UPI,TXN100291,75600
2021-05-30,HR,Marketing,West,115741,94588,UPI,TXN100292,-21153
2021-11-10,Marketing,Infrastructure,South,40089,151032,Bank Transfer,TXN100293,110943
2022-07-24,Finance,Salaries,West,16171,134709,UPI,TXN100294,118538
2021-11-01,IT,Marketing,South,27874,99039,UPI,TXN100295,71165
2022-11-13,Marketing,Infrastructure,North,69024,26162,UPI,TXN100296,-42862
2023-04-18,Finance,Travel,Central,31153,13530,Bank Transfer,TXN100297,-17623
2023-12-14,Marketing,Travel,East,114693,130779,Cash,TXN100298,16086
2023-09-30,Operations,Marketing,East,67753,31128,Cash,TXN100299,-36625
2022-03-20,HR,Salaries,North,147713,78707,Bank Transfer,TXN100300,-69006
2022-09-05,HR,Infrastructure,North,99075,143537,Cash,TXN100301,44462
2023-09-20,Marketing,Travel,West,14677,98275,UPI,TXN100302,83598
2021-09-21,HR,Travel,Central,15139,37998,UPI,TXN100303,22859
2023-12-13,Sales,Salaries,Central,67766,35333,UPI,TXN100304,-32433
2023-10-01,Marketing,Marketing,West,96049,73886,UPI,TXN100305,-22163
2021-01-05,Operations,Utilities,Central,86693,14522,Cash,TXN100306,-72171
2023-02-13,Marketing,Training,Central,67414,106504,Bank Transfer,TXN100307,39090
2023-05-27,Marketing,Infrastructure,East,139807,97194,Bank Transfer,TXN100308,-42613
2023-09-19,HR,Travel,Central,83741,43320,Bank Transfer,TXN100309,-40421
2023-06-03,Operations,Training,North,146497,118424,Card,TXN100310,-28073
2021-02-16,Marketing,Training,East,13900,121959,Bank Transfer,TXN100311,108059
2023-05-17,HR,Utilities,North,87347,65630,Card,TXN100312,-21717
2023-04-03,IT,Training,North,136004,64662,Bank Transfer,TXN100313,-71342
2023-07-25,Operations,Salaries,West,134463,121305,UPI,TXN100314,-13158
2022-10-18,Finance,Marketing,Central,39134,116291,Bank Transfer,TXN100315,77157
2021-09-26,Sales,Infrastructure,Central,12817,142630,Card,TXN100316,129813
2022-01-05,Finance,Salaries,Central,80486,81834,UPI,TXN100317,1348
2022-09-28,Operations,Marketing,Central,148763,11513,Card,TXN100318,-137250
2022-10-19,Marketing,Salaries,East,75978,148532,Cash,TXN100319,72554
2021-04-30,HR,Travel,South,67154,164388,Cash,TXN100320,97234
2023-04-11,Operations,Travel,North,102195,121860,Cash,TXN100321,19665
2023-12-18,Sales,Utilities,South,58788,57512,UPI,TXN100322,-1276
2023-01-11,Operations,Salaries,South,103039,36669,UPI,TXN100323,-66370
2021-04-27,HR,Training,South,19413,111099,Card,TXN100324,91686
2023-03-02,Finance,Travel,East,124113,107754,UPI,TXN100325,-16359
2023-10-10,IT,Marketing,South,53400,65560,Bank Transfer,TXN100326,12160
2023-12-18,Finance,Utilities,East,39899,39709,Card,TXN100327,-190
2022-09-26,HR,Training,West,122683,95705,Bank Transfer,TXN100328,-26978
2022-05-28,HR,Infrastructure,West,55463,25011,UPI,TXN100329,-30452
2023-03-13,Sales,Salaries,West,10894,27651,Bank Transfer,TXN100330,16757
2022-07-14,Operations,Travel,East,120398,8566,UPI,TXN100331,-111832
2022-05-03,Operations,Training,East,139611,44526,UPI,TXN100332,-95085
2023-06-16,Finance,Marketing,North,98777,10020,Bank Transfer,TXN100333,-88757
2022-12-05,IT,Salaries,South,56442,77066,Cash,TXN100334,20624
2022-08-04,IT,Marketing,Central,129681,26890,UPI,TXN100335,-102791
2023-03-01,Sales,Utilities,Central,53520,83919,Card,TXN100336,30399
2023-05-11,HR,Travel,South,113137,51882,Card,TXN100337,-61255
2021-09-04,Sales,Travel,Central,39899,33304,Cash,TXN100338,-6595
2021-06-03,Operations,Utilities,Central,88107,126016,Bank Transfer,TXN100339,37909
2023-09-24,Marketing,Marketing,Central,141443,55742,Cash,TXN100340,-85701
2022-11-28,Marketing,Salaries,East,40193,70124,Bank Transfer,TXN100341,29931
2023-12-29,Marketing,Marketing,East,115302,137925,Cash,TXN100342,22623
2023-12-07,HR,Salaries,East,24464,99354,UPI,TXN100343,74890
2023-10-06,Sales,Training,South,93323,46451,Card,TXN100344,-46872
2021-04-04,Finance,Utilities,West,59025,60754,Cash,TXN100345,1729
2023-08-16,Operations,Infrastructure,Central,104187,152741,Card,TXN100346,48554
2023-10-09,Marketing,Salaries,North,121710,28754,Bank Transfer,TXN100347,-92956
2022-03-29,IT,Travel,East,86248,132779,Cash,TXN100348,46531
2023-07-01,Sales,Training,North,92927,110047,Cash,TXN100349,17120
2021-08-06,Operations,Travel,Central,10667,143919,Cash,TXN100350,133252
2022-04-19,Operations,Training,West,25890,89472,Cash,TXN100351,63582
2022-03-08,IT,Travel,North,111333,46446,Card,TXN100352,-64887
2021-12-07,IT,Marketing,Central,51000,105676,UPI,TXN100353,54676
2022-07-05,IT,Marketing,Central,130580,68489,Card,TXN100354,-62091
2021-12-23,Marketing,Marketing,East,39940,123363,UPI,TXN100355,83423
2021-01-23,Marketing,Training,West,131878,77589,Cash,TXN100356,-54289
2022-06-06,Sales,Training,Central,129492,139994,UPI,TXN100357,10502
2023-03-13,IT,Travel,West,34701,106711,Card,TXN100358,72010
2023-02-01,Finance,Salaries,East,92697,58261,Cash,TXN100359,-34436
2022-03-18,Operations,Training,North,51795,151862,Card,TXN100360,100067
2023-02-08,IT,Travel,South,100990,153639,Card,TXN100361,52649
2023-10-13,Operations,Salaries,South,23115,28343,Card,TXN100362,5228
2022-05-31,HR,Marketing,South,140845,9490,UPI,TXN100363,-131355
2023-11-06,HR,Training,West,66433,136369,Cash,TXN100364,69936
2023-03-03,IT,Infrastructure,South,56999,68928,Cash,TXN100365,11929
